title;director;writers;releaseDate(YYYY-MM-DD);genre;run time;rated;cast;IMDb;filename | https://www.imdb.com/search/title/?year=$year_start,$year_end&title_type=feature&sort=moviemeter,asc&page=$page&ref_=adv_nxt
Jumanji: The Next Level;Jake Kasdan;Scott Rosenberg, Jeff Pinkner, Erik Sommers, Chris McKenna;2017-12-20;Fantasy,Action;1h 59m;PG-13;Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Alex Wolff, Morgan Turner, Ser\'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito;6.8/10;jumanjithenextlevel.jpg
Frozen 2;Jennifer Lee, Chris Buck, Jennifer Lee;Jennifer Lee, Allison Schroeder;2019-11-22;Drama,Fantasy;1h 43m;PG;Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff;7/10;frozen2.jpg
Parasite;Bong Joon-ho;Bong Joon-ho, Han Jin-won;2019-10-5;Drama,Mystery;2h 12m;R;Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Jang Hye-jin;8.6/10;parasite2019.jpg
Joker (2019 film);Todd Phillips;Todd Phillips, Scott Silver;2019-10-4;Drama,Thriller;2h 2m;R;Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy;8.6/10;joker2019film.jpg
Knives Out;Rian Johnson;Rian Johnson;2019-11-27;Drama,Thriller;2h 10m;PG-13;Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer;8/10;knivesout.jpg
Avengers: Endgame;Joe Russo, Anthony Russo;Stephen McFeely, Christopher Markus;2019-04-26;Fantasy,Sci-fi;3h 2m;PG-13;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, Josh Brolin;8.5/10;marvelavengersendgame.jpg
Jojo Rabbit;Taika Waititi;Taika Waititi;2019-11-8;Drama,Comedy-drama;1h 48m;PG-13;Roman Griffin Davis, Thomasin McKenzie, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell, Scarlett Johansson;8/10;jojorabbit.jpg
Charlie\'s Angels;Elizabeth Banks;Elizabeth Banks, David Auburn;2019-11-15;Action,Adventure;1h 58m;PG-13;Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart;4.4/10;charliesangels2019.jpg
All the Bright Places;Brett Haley;Jennifer Niven, Elizabeth Hannah;2020-02-28;Drama,Romance;1h 48m;Not Yet Rated;Elle Fanning, Justice Smith, Alexandra Shipp, Kelli O\'Hara, Lamar Johnson, Virginia Gardner, Felix Mallard, Sofia Hasmik, Keegan-Michael Key, Luke Wilson;6.5/10;allthebrightplaces.jpg
Ford v Ferrari;James Mangold;James Mangold, John-Henry Butterworth, Jez Butterworth, Jason Keller;2019-08-30;Drama,Sport;2h 32m;PG-13;Matt Damon, Christian Bale;8.1/10;fordvferrari.jpg
Midway;Roland Emmerich;Wes Tooke;2019-11-08;Drama,History;2h 18m;PG-13;Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Etsushi Toyokawa, Tadanobu Asano, Luke Kleintank, Jun Kunimura, Darren Criss, Keean Johnson, Mandy Moore, Dennis Quaid, Woody Harrelson;6.7/10;midway2019.jpg
The Lion King;Jon Favreau;Jeff Nathanson;2019-07-19;Drama,Music;1h 58m;PG;Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard, Billy Eichner, John Kani, John Oliver, Beyoncé Knowles-Carter, James Earl Jones;6.9/10;lionking2019.jpg
Terminator: Dark Fate;Tim Miller;David Ellison, David S. Goyer, Billy Ray, Justin Rhodes;2019-11-01;Fantasy,Sci-fi;2h 8m;R;Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta;6.3/10;terminatordarkfate2019.jpg
Bombshell;Jay Roach;Charles Randolph;2019-12-19;Drama;1h 49m;R;Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Connie Britton, Malcolm McDowell, Allison Janney;6.8/10;bombshell2019.jpg
Once Upon a Time in Hollywood;Quentin Tarantino;Quentin Tarantino;2019-07-26;Drama,Comedy-drama;2h 40m;R;Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley, Timothy Olyphant, Austin Butler, Dakota Fanning, Bruce Dern, Al Pacino;7.7/10;onceuponatimeinhollyword2019.jpg
Aladdin;Guy Ritchie;Guy Ritchie, John August;2019-05-24;Fantasy,Romance;2h 8m;PG;Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban, Nasim Pedrad, Billy Magnussen;7/10;aladdin2019.jpg
