MovieTitle,Directors,Writers,ReleaseDate,Genres,RunTime,Rated,Cast,Ratings,ImageURL-src
Aliens,"Director:

James Cameron","Writers:

James Cameron (story by), David Giler (story by)            |

4 more credits »",1986-08-29,"Genres:

 Action |

 Adventure |

 Sci-Fi |

 Thriller",2h 17m,15,"Stars:

Sigourney Weaver, Michael Biehn, Carrie Henn            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BZjY1OWZlMTEtNTExMy00N2UxLWFjZjItYzRlYWFlMjVhYjlkXkEyXkFqcGdeQXVyNDMxNjY1NTU@._V1_SX346_CR0,0,346,499_AL_.jpg";
One Flew Over the Cuckoo's Nest,"Director:

Milos Forman","Writers:

Lawrence Hauben (screenplay), Bo Goldman (screenplay)            |

2 more credits »",1976-02-26,"Genres:

 Drama",2h 13m,X,"Stars:

Jack Nicholson, Louise Fletcher, Will Sampson            |

See full cast & crew »",8.7,https://m.media-amazon.com/images/M/MV5BNTBkYmI0YjYtMzlmYS00YTBlLWJiMDUtMzAyNWRhNmJmZTMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_SY494_SX728_AL_.jpg;
The Kid,"Director:

Charles Chaplin (as Charlie Chaplin)","Writer:

Charles Chaplin (as Charlie Chaplin)",null,"Genres:

 Comedy |

 Drama |

 Family",1h 8m,U,"Stars:

Charles Chaplin, Edna Purviance, Jackie Coogan            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BNDQ1NTM4ODAtZTI5Ny00YmNiLTg0MjctNzE1YzI2MDFkNmFmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX275_CR0,0,275,401_AL_.jpg";
Life Is Beautiful,"Director:

Roberto Benigni","Writers:

Vincenzo Cerami (story and screenplay by), Roberto Benigni (story and screenplay by)",1999-02-12,"Genres:

 Comedy |

 Drama |

 Romance |

 War",1h 56m,PG,"Stars:

Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini            |

See full cast & crew »",8.6,https://m.media-amazon.com/images/M/MV5BZTZjYmZhYTQtMGRjZS00N2U4LThjMzctZGMxMzYxMWM4N2Y0XkEyXkFqcGdeQXVyNjM0ODQ2MDk@._V1_SY261_SX435_AL_.jpg;
Princess Mononoke,"Director:

Hayao Miyazaki","Writers:

Hayao Miyazaki, Neil Gaiman (adapted by: English version)",2001-10-19,"Genres:

 Animation |

 Adventure |

 Fantasy",2h 14m,PG,"Stars:

Yôji Matsuda, Yuriko Ishida, Yûko Tanaka            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BYjUyODY2YWMtOTExZS00ZWVjLTkxMzktMmZjNTQ3NzIyYTdkXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_SY500_CR0,0,333,500_AL_.jpg";
Witness for the Prosecution,"Director:

Billy Wilder","Writers:

Agatha Christie (in Agatha Christie's international stage success), Billy Wilder (screen play)            |

2 more credits »",1958-02-06,"Genres:

 Crime |

 Drama |

 Film-Noir |

 Mystery |

 Thriller",1h 56m,U,"Stars:

Tyrone Power, Marlene Dietrich, Charles Laughton            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BMTg2NTc2MjU4NV5BMl5BanBnXkFtZTcwODY1Nzg0NQ@@._V1_SY250_CR0,0,166,250_AL_.jpg";
The Usual Suspects,"Director:

Bryan Singer","Writer:

Christopher McQuarrie",1995-08-25,"Genres:

 Crime |

 Mystery |

 Thriller",1h 46m,18,"Stars:

Kevin Spacey, Gabriel Byrne, Chazz Palminteri            |

See full cast & crew »",8.5,https://m.media-amazon.com/images/M/MV5BOTNjNjRjZDUtMjAyZi00NmE1LWE1OTgtYjhjNjUzOTc0ZmY1XkEyXkFqcGdeQXVyNjYyMTYxMzk@._V1_SY479_SX340_AL_.jpg;
The Pianist,"Director:

Roman Polanski","Writers:

Ronald Harwood (screenplay), Wladyslaw Szpilman (book)",2003-01-24,"Genres:

 Biography |

 Drama |

 Music |

 War",2h 30m,15,"Stars:

Adrien Brody, Thomas Kretschmann, Frank Finlay            |

See full cast & crew »",8.5,"https://m.media-amazon.com/images/M/MV5BMTEyZjUyZDEtYzQxOC00YzYwLWJlZTktMDUwOGYxMDAwMTI3XkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_SY500_CR0,0,371,500_AL_.jpg";
Avengers: Infinity War,"Directors:

Anthony Russo, Joe Russo","Writers:

Christopher Markus (screenplay by), Stephen McFeely (screenplay by)            |

14 more credits »",2018-04-26,"Genres:

 Action |

 Adventure |

 Sci-Fi",2h 29m,12A,"Stars:

Robert Downey Jr., Chris Hemsworth, Mark Ruffalo            |

See full cast & crew »",8.5,"https://m.media-amazon.com/images/M/MV5BNTMzMDI3MzM1MF5BMl5BanBnXkFtZTgwMTkzMTQxNTM@._V1_SY500_CR0,0,342,500_AL_.jpg";
The Lord of the Rings: The Return of the King,"Director:

Peter Jackson","Writers:

J.R.R. Tolkien (novel), Fran Walsh (screenplay)            |

2 more credits »",2003-12-17,"Genres:

 Adventure |

 Drama |

 Fantasy",3h 21m,12A,"Stars:

Elijah Wood, Viggo Mortensen, Ian McKellen            |

See full cast & crew »",8.9,https://m.media-amazon.com/images/M/MV5BYzA4YjgxMDItNjAyMC00YjM3LTkyNDEtYTQyMzAxNGQ5NjJhXkEyXkFqcGdeQXVyNDk2MjQ4Mzk@._V1_SY370_SX888_AL_.jpg;
Amélie,"Director:

Jean-Pierre Jeunet","Writers:

Guillaume Laurant (scenario), Jean-Pierre Jeunet (scenario)            |

1 more credit »",2001-10-05,"Genres:

 Comedy |

 Romance",2h 2m,15,"Stars:

Audrey Tautou, Mathieu Kassovitz, Rufus            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BMTA3MjVkMWMtYTQ4ZC00ODczLWFjYmQtMDFkZDQ2Y2M0NDVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY500_CR0,0,336,500_AL_.jpg";
The Matrix,"Directors:

Lana Wachowski (as The Wachowski Brothers), Lilly Wachowski (as The Wachowski Brothers)","Writers:

Lilly Wachowski (as The Wachowski Brothers), Lana Wachowski (as The Wachowski Brothers)",1999-06-11,"Genres:

 Action |

 Sci-Fi",2h 16m,15,"Stars:

Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss            |

See full cast & crew »",8.7,"https://m.media-amazon.com/images/M/MV5BNWI4OWYzNTYtNWI4MC00MzllLWE4MzUtMTRiY2IzYmZkNzgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY500_CR0,0,333,500_AL_.jpg";
2001: A Space Odyssey,"Director:

Stanley Kubrick","Writers:

Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)",1968-05-12,"Genres:

 Adventure |

 Sci-Fi",2h 29m,U,"Stars:

Keir Dullea, Gary Lockwood, William Sylvester            |

See full cast & crew »",8.3,https://m.media-amazon.com/images/M/MV5BYzE0ZmRiMzAtYmMwOS00ZTUxLTkxZTctMDkyM2E2Njk4YTI1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SY351_SX250_AL_.jpg;
The Lord of the Rings: The Two Towers,"Director:

Peter Jackson","Writers:

J.R.R. Tolkien (novel), Fran Walsh (screenplay)            |

3 more credits »",2002-12-18,"Genres:

 Adventure |

 Drama |

 Fantasy",2h 59m,12A,"Stars:

Elijah Wood, Ian McKellen, Viggo Mortensen            |

See full cast & crew »",8.7,"https://m.media-amazon.com/images/M/MV5BNTBiY2UyNmUtMzc5Ny00OGE4LThjNTEtM2EzZGZhNTFmMDZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY500_CR0,0,340,500_AL_.jpg";
Star Wars: Episode V - The Empire Strikes Back,"Director:

Irvin Kershner","Writers:

Leigh Brackett (screenplay by), Lawrence Kasdan (screenplay by)            |

1 more credit »",1980-05-21,"Genres:

 Action |

 Adventure |

 Fantasy |

 Sci-Fi",2h 4m,U,"Stars:

Mark Hamill, Harrison Ford, Carrie Fisher            |

See full cast & crew »",8.7,"https://m.media-amazon.com/images/M/MV5BOTE4MzA4ZTktZWI3Zi00YjM5LWFkNDctODUxZGQ2ZjkxNjQzXkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_SY500_CR0,0,320,500_AL_.jpg";
Apocalypse Now,"Director:

Francis Ford Coppola (as Francis Coppola)","Writers:

John Milius, Francis Ford Coppola (as Francis Coppola)            |

1 more credit »",1979-12-19,"Genres:

 Drama |

 Mystery |

 War",2h 27m,X,"Stars:

Martin Sheen, Marlon Brando, Robert Duvall            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BZTNkZmU0ZWQtZjQzMy00YTNmLWFmN2MtZGNkMmU1OThmMGYwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY500_CR0,0,326,500_AL_.jpg";
North by Northwest,"Director:

Alfred Hitchcock","Writer:

Ernest Lehman",1959-11-20,"Genres:

 Adventure |

 Mystery |

 Thriller",2h 16m,A,"Stars:

Cary Grant, Eva Marie Saint, James Mason            |

See full cast & crew »",8.3,https://m.media-amazon.com/images/M/MV5BY2UxOTFlYWItZWM1NC00YWIwLTkzYWEtMTk4MWM3NzFhNjc5XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SY351_SX250_AL_.jpg;
The Shining,"Director:

Stanley Kubrick","Writers:

Stephen King (novel), Stanley Kubrick (screenplay)            |

1 more credit »",1980-10-05,"Genres:

 Drama |

 Horror",2h 26m,15,"Stars:

Jack Nicholson, Shelley Duvall, Danny Lloyd            |

See full cast & crew »",8.4,https://m.media-amazon.com/images/M/MV5BNDllY2U4OWItNjViOS00OWJkLWE4NTYtNWUzYmNkYWIzMzMwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY482_SX320_AL_.jpg;
3 Idiots,"Director:

Rajkumar Hirani","Writers:

Rajkumar Hirani (screenplay), Abhijat Joshi (screenplay)            |

3 more credits »",2009-12-24,"Genres:

 Comedy |

 Drama",2h 50m,12A,"Stars:

Aamir Khan, Madhavan, Mona Singh            |

See full cast & crew »",8.4,https://m.media-amazon.com/images/M/MV5BMWYxZWRiNzQtYTRmMC00MmQ2LTkwMmYtMWYzOTViYTgyMTE1XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SY354_SX250_AL_.jpg;
Avengers: Endgame,"Directors:

Anthony Russo, Joe Russo","Writers:

Christopher Markus (screenplay by), Stephen McFeely (screenplay by)            |

14 more credits »",2019-04-25,"Genres:

 Action |

 Adventure |

 Drama |

 Sci-Fi",3h 1m,12A,"Stars:

Robert Downey Jr., Chris Evans, Mark Ruffalo            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BMTc4NDUzNTQ1NV5BMl5BanBnXkFtZTgwNjQ4OTM3NzM@._V1_SY500_CR0,0,337,500_AL_.jpg";
Once Upon a Time in America,"Director:

Sergio Leone","Writers:

Harry Grey (novel), Leonardo Benvenuti (screenplay)            |

6 more credits »",1984-10-05,"Genres:

 Crime |

 Drama",3h 49m,R,"Stars:

Robert De Niro, James Woods, Elizabeth McGovern            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BN2ZmZDU5OGEtZmRmYS00MjMyLWFlN2QtZmNkMThmYjZkNzU3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_SY500_CR0,0,813,500_AL_.jpg";
The Dark Knight,"Director:

Christopher Nolan","Writers:

Jonathan Nolan (screenplay), Christopher Nolan (screenplay)            |

3 more credits »",2008-07-24,"Genres:

 Action |

 Crime |

 Drama |

 Thriller",2h 32m,12A,"Stars:

Christian Bale, Heath Ledger, Aaron Eckhart            |

See full cast & crew »",9,https://m.media-amazon.com/images/M/MV5BYWRiZDY1NGQtNzA2YS00ZGIzLWJkYzktNjVmNDFkNGQ4NTc3XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SY400_SX291_AL_.jpg;
Untouchable,"Directors:

Olivier Nakache, Éric Toledano","Writers:

Olivier Nakache, Philippe Pozzo di Borgo (adapted from his autobiographical tale Le Second Souffle)            |

1 more credit »",2012-09-21,"Genres:

 Biography |

 Comedy |

 Drama",1h 52m,15,"Stars:

François Cluzet, Omar Sy, Anne Le Ny            |

See full cast & crew »",8.5,https://m.media-amazon.com/images/M/MV5BZmMwYWFhZTgtYTc5Zi00ODk2LThjZWEtMzhjNWVlMTY0MmU4XkEyXkFqcGdeQXVyMTMxODYzNjg@._V1_SY209_SX171_AL_.jpg;
Casablanca,"Director:

Michael Curtiz","Writers:

Julius J. Epstein (screenplay), Philip G. Epstein (screenplay)            |

3 more credits »",1943-01-23,"Genres:

 Drama |

 Romance |

 War",1h 42m,U,"Stars:

Humphrey Bogart, Ingrid Bergman, Paul Henreid            |

See full cast & crew »",8.5,https://m.media-amazon.com/images/M/MV5BZjZiZjRmYjgtNzlhNS00MjA2LWE2OTAtNmYyZWZiN2VhOTJlXkEyXkFqcGdeQXVyNjEwMTA0NTc@._V1_SY280_SX360_AL_.jpg;
Vertigo,"Director:

Alfred Hitchcock","Writers:

Alec Coppel (screenplay by), Samuel A. Taylor (screenplay by) (as Samuel Taylor)            |

2 more credits »",1958-05-22,"Genres:

 Mystery |

 Romance |

 Thriller",2h 8m,A,"Stars:

James Stewart, Kim Novak, Barbara Bel Geddes            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BNjc5OTJkODEtMjY2Yi00OTA0LTg2NjctYTYyZTYyZjA2ZDlhXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SY500_CR0,0,322,500_AL_.jpg";
